historical_docx	best_verified	historical_8word_coverage_pct	verified_8word_coverage_pct	exact_normalized_containment	shared_8word_shingles	verified_sha256
Eighteenth conversation - final.docx	GPT_Plus_Integration_Roadmap.md.txt	0.01	0.01	False	3	c3897397c4b8b9e1653ad977ad0249da1334595a5223913e7140e5191371ae10
Eighth conversation .docx	Constitutional_Kernel_Initialization.md.txt	0.02	0.01	False	2	3765fbf5380a3006353f07da2ea82f06b37f200e09ce327c29deff99f5351c1f
Eleventh conversation .docx	Workflow_and_Evidence_Consolidation.md.txt	0.00	0.00	False	0	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
Fifteenth conversation.docx	Workflow_and_Evidence_Consolidation.md.txt	0.00	0.00	False	0	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
Fifth Conversation.docx	Workflow_and_Evidence_Consolidation.md.txt	0.00	0.00	False	0	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
First Conversation .docx	Workflow_and_Evidence_Consolidation.md.txt	0.00	0.00	False	0	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
Fourteenth conversation .docx	Workflow_and_Evidence_Consolidation.md.txt	0.00	0.00	False	0	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
Fourth Conversation .docx	Workflow_and_Evidence_Consolidation.md.txt	0.00	0.00	False	0	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
Last chat before starting new project.docx	Epistemic_Engine_Development.md	0.09	0.02	False	3	64263a35738281b8c4288b32577feb928f45c47331c7fa2ab94027c4e50b36ec
Nineteenth conversation  (1).docx	Workflow_and_Evidence_Consolidation.md.txt	0.00	0.00	False	0	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
Ninth Conversation .docx	Workflow_and_Evidence_Consolidation.md.txt	0.00	0.00	False	0	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
Second Conversation .docx	Workflow_and_Evidence_Consolidation.md.txt	0.00	0.00	False	0	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
Seventeenth conversation .docx	Workflow_and_Evidence_Consolidation.md.txt	0.01	0.01	False	1	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
Seventh conversation .docx	Difference_Engine____Branch_III____Integration.md.txt	0.04	0.00	False	1	9a43ae30cb3d58bd59f243cc41bb28fa8ddd02e6c1a1620c92e71b9557b237c7
Sixteenth conversation .docx	Workflow_and_Evidence_Consolidation.md.txt	0.00	0.00	False	0	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
Sixth Conversation .docx	Workflow_and_Evidence_Consolidation.md.txt	0.00	0.00	False	0	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
Tenth conversation .docx	Workflow_and_Evidence_Consolidation.md.txt	0.00	0.00	False	0	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
Third Conversation .docx	Workflow_and_Evidence_Consolidation.md.txt	0.00	0.00	False	0	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
Thirteenth conversation .docx	Workflow_and_Evidence_Consolidation.md.txt	0.00	0.00	False	0	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
Twelfth conversation .docx	Workflow_and_Evidence_Consolidation.md.txt	0.00	0.00	False	0	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
Twenty conversation .docx	Workflow_and_Evidence_Consolidation.md.txt	0.00	0.00	False	0	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805
