max_string_chars	path	field_path
214	AKS/AKS_Constitution_v0.1_Draft.json	$.preamble
165	AKS/AKS-PRESERVATION-0041_Emergent_Interaction_and_Dynamic_Equilibrium.json	$.artifact.working_hypothesis.statement
149	AKS/AKS-THEOREM-0001_Inheritance_Conservation.json	$.artifact.statement
145	AKS/AKS-CV-0001_Draft_0.2_Canonical.json	$.artifact.terms[0].definition
142	AKS/AKS-SPEC-0002_Draft_0.1_Canonical.json	$.artifact.requirements[9].statement
133	AKS/AKS-THEOREMS-0001_Draft_0.1_Canonical.json	$.artifact.theorems[1].statement
122	AKS/AKS-SPEC-0001_Draft_0.4_Canonical.json	$.artifact.requirements[9].statement
113	AKS/AKS-PRESERVATION-0039_First_Principle_Independence_Snapshot.json	$.artifact.discipline_note
106	AKS/AKS_CPA_0001_Manifest_Draft.json	$.purpose
102	AKS/AKS_Architecture_v0.1_Draft.json	$.principles.core_principle
100	Chatgpt/JSON/PR-0005_Architectural_Change_Preservation.json	$.artifact.statement[2]
98	AKS/AKS-INVARIANTS-0001_Draft_0.1_Canonical.json	$.artifact.purpose
90	Chatgpt/JSON/MAJOR_PP_0003.json	$.summary
89	AKS/AKS-PRESERVATION-0040_Boundary_Conditions_and_Self_Revision.json	$.artifact.key_findings[1]
87	AKS/AKS-PRESERVATION-0036_Necessary_Complexity_Snapshot.json	$.artifact.engineering_summary.major_transition
87	AKS/AKS-PRESERVATION-0035_Architectural_Invariant_Assault.json	$.artifact.high_confidence_findings[4]
87	AKS/AKS-PRESERVATION-0025_Validation_Program_Transition.json	$.artifact.observations[0]
83	AKS/AKS-PRESERVATION-0042_Emergent_Behavior_and_Regulatory_Structures.json	$.artifact.key_observations[2]
80	AKS/AKS-PRESERVATION-0034_Engineering_Maturity_Snapshot.json	$.artifact.next_campaign
80	AKS/AKS-INDEX-0001_Draft_0.1_Canonical.json	$.artifact.purpose
75	Chatgpt/JSON/SPEC-1004_v1.0.0.json	$.purpose
72	AKS/AKS-PRESERVATION-0017_Evidence_Refinement.json	$.artifact.observations[2]
67	AKS/AKS-PRESERVATION-0038_First_Principles_Falsification_I.json	$.artifact.key_findings[0]
66	AKS/AKS-PRESERVATION-0030_Endurance_Cycle_B.json	$.artifact.decisions[1]
64	AKS/AKS-PRESERVATION-0018_Governance_Dashboard.json	$.artifact.observations[0]
58	AKS/AKS-PRESERVATION-0033_Viking_Campaign_I.json	$.artifact.queued[0]
56	AKS/AKS-TRUTH-0001_Draft_0.1_Truth_State_Model.json	$.artifact.purpose
49	Chatgpt/JSON/migration_manifest_v0.1.json	$.actions.MERGE_RELATIONSHIP[0].action
49	Chatgpt/JSON/MAJOR_PP_0002.json	$.constitutional_invariants[8]
44	Chatgpt/JSON/census_v0.1.json	$.artifacts[0].name
34	AKS/AKS_Phylactery_PreFreeze_Baseline_v0.1.json	$.workflow.current_phase
