original_path	rebound_path	recorded_sha256	actual_sha256	exists	sha256_match
/storage/emulated/0/Download/Difference_Engine____Branch_IV____Operations.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Difference_Engine____Branch_IV____Operations.md.txt	d1c9064bb50f0b6b29b34beafb8aebb9c31c0a02ba1f86b3c1338311ecda7bd9	d1c9064bb50f0b6b29b34beafb8aebb9c31c0a02ba1f86b3c1338311ecda7bd9	True	True
/storage/emulated/0/Download/Project_Chat_Context.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Project_Chat_Context.md.txt	09b52590f09055c5781e0ee9c6258b11adde31c13c6e12334352118cc4d9cb99	09b52590f09055c5781e0ee9c6258b11adde31c13c6e12334352118cc4d9cb99	True	True
/storage/emulated/0/Download/Bootstrap_BABBAGE_Initialization.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Bootstrap_BABBAGE_Initialization.md.txt	ff976445f55b32c13441e1fac0a8d24d9ad44c6c8c54f978edc7bd42f1d38806	ff976445f55b32c13441e1fac0a8d24d9ad44c6c8c54f978edc7bd42f1d38806	True	True
/storage/emulated/0/Download/Babbage_GPT_Initialization.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Babbage_GPT_Initialization.md.txt	7b142fadaa911b1b72cc274e371ad784e7d84de55a71d56f0d47e5eba4ed9b42	7b142fadaa911b1b72cc274e371ad784e7d84de55a71d56f0d47e5eba4ed9b42	True	True
/storage/emulated/0/Download/Bootstrap_Initialization_and_Rules.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Bootstrap_Initialization_and_Rules.md.txt	a48dcc6e2768ac9f9c23f4d4439fbd010c0fc427ece4b8de8f2d07cd6b80a6c1	a48dcc6e2768ac9f9c23f4d4439fbd010c0fc427ece4b8de8f2d07cd6b80a6c1	True	True
/storage/emulated/0/Download/Difference_Engine____Branch_II____Research.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Difference_Engine____Branch_II____Research.md.txt	3070b03ec60d697cef3c8051553adc27b34a141bda6cd3cda3f112edd81f53a7	3070b03ec60d697cef3c8051553adc27b34a141bda6cd3cda3f112edd81f53a7	True	True
/storage/emulated/0/Download/Difference_Engine____Branch_0____Origins.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Difference_Engine____Branch_0____Origins.md.txt	6ea1103958a3b5e513fafde16b80c107f2ef55c3b481065a5961d00f9baa37cc	6ea1103958a3b5e513fafde16b80c107f2ef55c3b481065a5961d00f9baa37cc	True	True
/storage/emulated/0/Download/Categorization_of_Governance_Elements.md(1).txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Categorization_of_Governance_Elements.md(1).txt	41f9205e9dc88751d416f9884ef7c1c34f463dc3f622b94d95699f634beaa8cb	41f9205e9dc88751d416f9884ef7c1c34f463dc3f622b94d95699f634beaa8cb	True	True
/storage/emulated/0/Download/Migration_Map_Creation.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Migration_Map_Creation.md.txt	e54a100d601a877e0f96cd1ba14677bc123f8a6bd4b1b30ccc6f9810ca0f68ac	e54a100d601a877e0f96cd1ba14677bc123f8a6bd4b1b30ccc6f9810ca0f68ac	True	True
/storage/emulated/0/Download/Difference_Engine____Branch_II____Research.md(1).txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Difference_Engine____Branch_II____Research.md(1).txt	734a6d8fde65b6c40eb9fe58a439f0f977babea6a950720c7016782cf2643b81	734a6d8fde65b6c40eb9fe58a439f0f977babea6a950720c7016782cf2643b81	True	True
/storage/emulated/0/Download/File_Library_Access_Details.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/File_Library_Access_Details.md.txt	e6ade85893a0e1c71e38ee13e681f9fd44823ba5b783262fc5ac4c92e29d51e8	e6ade85893a0e1c71e38ee13e681f9fd44823ba5b783262fc5ac4c92e29d51e8	True	True
/storage/emulated/0/Download/Summaries_for_the_steward.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Summaries_for_the_steward.md.txt	dba3f90ff24cd051dd3dec204a7d6c3cf3f8232ed3c2a8fa6fb8bb7b224c4e0d	dba3f90ff24cd051dd3dec204a7d6c3cf3f8232ed3c2a8fa6fb8bb7b224c4e0d	True	True
/storage/emulated/0/Download/Epistemic_Engine_Development.md	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Epistemic_Engine_Development.md	64263a35738281b8c4288b32577feb928f45c47331c7fa2ab94027c4e50b36ec	64263a35738281b8c4288b32577feb928f45c47331c7fa2ab94027c4e50b36ec	True	True
/storage/emulated/0/Download/Workflow_and_Evidence_Consolidation.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Workflow_and_Evidence_Consolidation.md.txt	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805	71176b39c2ad2ac55bf71cb7b56460756f73c8d2821c62bfe0f4f2093f817805	True	True
/storage/emulated/0/Download/Babbage_Initialization_and_Parsing.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Babbage_Initialization_and_Parsing.md.txt	66c819d2a969c4e161ae6b64f02951534385908813e86703c8c5a77c548c11af	66c819d2a969c4e161ae6b64f02951534385908813e86703c8c5a77c548c11af	True	True
/storage/emulated/0/DifferenceEngine/workspace/operational/ingestion/inbox/Kernel_and_Bootstrap_Load.md(1).txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/DifferenceEngine/workspace/operational/ingestion/inbox/Kernel_and_Bootstrap_Load.md(1).txt	1bb1d6b364864de9b346f27e67bb111153e65db14806a483406816602bfe2529	1bb1d6b364864de9b346f27e67bb111153e65db14806a483406816602bfe2529	True	True
/storage/emulated/0/Download/Constitutional_Kernel_Initialization.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Constitutional_Kernel_Initialization.md.txt	3765fbf5380a3006353f07da2ea82f06b37f200e09ce327c29deff99f5351c1f	3765fbf5380a3006353f07da2ea82f06b37f200e09ce327c29deff99f5351c1f	True	True
/storage/emulated/0/Download/Constitutional_Kernel_Load.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Constitutional_Kernel_Load.md.txt	fa0eeb17972874f3a991b0f767fbdc0d5dceceae5bfbeed4303782d601e376ea	fa0eeb17972874f3a991b0f767fbdc0d5dceceae5bfbeed4303782d601e376ea	True	True
/storage/emulated/0/Download/Difference_Engine____Branch_III____Integration.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Difference_Engine____Branch_III____Integration.md.txt	9a43ae30cb3d58bd59f243cc41bb28fa8ddd02e6c1a1620c92e71b9557b237c7	9a43ae30cb3d58bd59f243cc41bb28fa8ddd02e6c1a1620c92e71b9557b237c7	True	True
/storage/emulated/0/Download/Governance_Improvements_Implementation.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Governance_Improvements_Implementation.md.txt	5b0e93774638f5f0ade186de3769c6bf9fd440971965b101fe45b42b0eb80e83	5b0e93774638f5f0ade186de3769c6bf9fd440971965b101fe45b42b0eb80e83	True	True
/storage/emulated/0/Download/Governance_Improvements_Implementation.md(1).txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Governance_Improvements_Implementation.md(1).txt	f0d08cbc34270a52c9502851ce02873832ee40f151cc91b4d6babcfe8200dfd0	f0d08cbc34270a52c9502851ce02873832ee40f151cc91b4d6babcfe8200dfd0	True	True
/storage/emulated/0/Download/Difference_Engine____Branch_0____Origins.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Difference_Engine____Branch_0____Origins.txt	0a2619397bc7687c57fd8e08765062ea5b4eae141fd8902d71536a443fa5f657	0a2619397bc7687c57fd8e08765062ea5b4eae141fd8902d71536a443fa5f657	True	True
/storage/emulated/0/Download/GPT_Plus_Integration_Roadmap.md.txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/GPT_Plus_Integration_Roadmap.md.txt	c3897397c4b8b9e1653ad977ad0249da1334595a5223913e7140e5191371ae10	c3897397c4b8b9e1653ad977ad0249da1334595a5223913e7140e5191371ae10	True	True
/storage/emulated/0/Download/GPT_Plus_Integration_Roadmap.md(1).txt	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/GPT_Plus_Integration_Roadmap.md(1).txt	a053bdf9d1710ff9973c940058990e1383806a68a0a0f6ddfe2aa8a9c5b5a566	a053bdf9d1710ff9973c940058990e1383806a68a0a0f6ddfe2aa8a9c5b5a566	True	True
