specification	line	level	heading	path
Artifact_Lifecycle_Specification_v0.1.md	1	1	Contents	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	3	1	Artifact Lifecycle Specification	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	11	1	Purpose	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	21	1	Design Principles	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	31	1	Lifecycle States	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	33	2	Imported	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	41	2	Parsed	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	49	2	Validated	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	57	2	Queued	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	65	2	Mapped	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	73	2	Under Review	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	81	2	Promoted	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	89	2	Published	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	97	2	Superseded	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	105	2	Archived	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	113	1	State Transitions	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	156	1	Lifecycle Events	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	170	1	Validation	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	180	1	Failure Handling	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	191	1	Relationship to Provenance	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Lifecycle_Specification_v0.1.md	199	1	Design Philosophy	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
Artifact_Schema_v0.1.md	1	1	Artifact Schema	workspace/operational/ingestion/output/ING-20260804-0006/source/Artifact_Schema_v0.1.md
Artifact_Schema_v0.1.md	9	1	Purpose	workspace/operational/ingestion/output/ING-20260804-0006/source/Artifact_Schema_v0.1.md
