tracked	sha256	aliases	line	text
NO	5e673334aa003f7d5cb0d187a03d86ee4279118ba100449a6e8f9e28b602173c	BOOTSTRAP/BOOTSTRAP - CONTINUE - INGESTER EPOCH v1.0 - 8-4-26-1300.md	55	## Initialization
NO	5e673334aa003f7d5cb0d187a03d86ee4279118ba100449a6e8f9e28b602173c	BOOTSTRAP/BOOTSTRAP - CONTINUE - INGESTER EPOCH v1.0 - 8-4-26-1300.md	114	## Locked Architecture
NO	5e673334aa003f7d5cb0d187a03d86ee4279118ba100449a6e8f9e28b602173c	BOOTSTRAP/BOOTSTRAP - CONTINUE - INGESTER EPOCH v1.0 - 8-4-26-1300.md	193	## Immediate Objective
NO	33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	43	## Current Objective
NO	33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	107	## Destroyed Candidates
NO	33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	143	## Strongest Surviving Observations
NO	33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	170	## Current Attack Frontier
NO	33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	188	## Non-Negotiable Constraints
NO	33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	214	## New Constitutional Constraint Candidate
NO	33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	226	## Working Standard
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	1	# KRN-0001 — Common Constitutional Kernel
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	11	# Purpose
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	29	# Project Identity
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	43	# Constitutional Boundary
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	66	# Initialization Protocol
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	99	# Source Precedence
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	124	# Epistemic Discipline
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	191	# Reduction Doctrine
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	217	# Construction Doctrine
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	237	# Repository Doctrine
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	300	# Governance Doctrine
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	326	# Human Doctrine
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	362	# Interface Doctrine
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	382	# Operator Model Boundary
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	409	# More Birds Heuristic
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	429	# Interruption Rules
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	448	# Session Lifecycle
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	511	# Uncertainty Procedure
NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	524	# Guiding Question
YES	b392e310bbba832ca2757fba815f4b5e3a9fc2b8b7a348ecf732376ddae2007a	workspace/operational/integration/EXTERNAL_VERIFICATION_STATUS.json	9	"    ""status"": ""verified"""
YES	b392e310bbba832ca2757fba815f4b5e3a9fc2b8b7a348ecf732376ddae2007a	workspace/operational/integration/EXTERNAL_VERIFICATION_STATUS.json	21	"    ""status"": ""verified"""
YES	5f55925976446211b2e3cc2678c98b787fb167e63c3b1a435239d8e3d7575301	workspace/operational/integration/FILE_LIBRARY_MANIFEST.json	3	"  ""status"": ""verified"","
YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	3	"  ""status"": ""candidate"","
YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	6	"  ""required_configuration"": {"
